Gene names,Log2FC_M_WT_M_MUT,negLog10pVal_M_WT_M_MUT,q-value M_WT_M_MUT,Student's T-test Significant M_WT_M_MUT,Log2FC_F_WT_F_MUT,negLog10pVal_F_WT_F_MUT,q-value F_WT_F_MUT,Student's T-test Significant F_WT_F_MUT,Log2FC_M_WT_F_WT,negLog10pVal_M_WT_F_WT,q-value M_WT_F_WT,Student's T-test Significant M_WT_F_WT,Log2FC_M_MUT_F_MUT,negLog10pVal_M_MUT_F_MUT,q-value M_MUT_F_MUT,Student's T-test Significant M_MUT_F_MUT,2502261_M_WT_HIP_P21,2502262_M_WT_HIP_P21,2502263_M_WT_HIP_P21,2502265_M_WT_HIP_P21,2502273_F_WT_HIP_P21,2502266_F_WT_HIP_P21,2502126_F_WT_HIP_P21,2502129_F_WT_HIP_P21,2502235_F_MUT_HIP_P21,2502236_F_MUT_HIP_P21,2502237_F_MUT_HIP_P21,2502281_M_MUT_HIP_P21,2502238_F_MUT_HIP_P21,2502285_M_MUT_HIP_P21,2502283_M_MUT_HIP_P21,2502284_M_MUT_HIP_P21,iBAQ,Intensity,MS/MS count,Razor + unique peptides,Mol. weight [kDa],Q-value,Score,Protein IDs,Majority protein IDs,Protein names
Elac2,"0,02403283119","0,1192128675","0,9167997718",,"-0,07133078575","0,6451577057","0,7510027804",,"0,002401828766","0,01233732638","0,9940547445",,"-0,09296178818","0,701802859","0,7478832117",,"-0,8353509903","-0,9764871597","-1,078238487","-0,8335666656","-0,9283218384","-0,8854637146","-0,9069137573","-1,012551308","-0,7572278976","-0,8253154755","-0,9643411636","-0,9634742737","-0,9010429382","-0,9140577316","-1,078606606","-0,8636360168",396550,34212000,4,4,"91,946",0,"7,2583",B1ATP7;Q80Y81-2;Q80Y81;B1ATP9,B1ATP7;Q80Y81-2;Q80Y81;B1ATP9,Zinc phosphodiesterase ELAC protein 2
Wac,"0,0240073204","0,09584204581","0,9171389677",,"0,1298737526","0,7361804886","0,6994958602",,"0,06294608116","0,5228052486","0,830960396",,"0,1688125134","0,7307530469","0,759039039",,"-2,067886353","-2,027374268","-1,895337105","-2,036027908","-2,113530159","-1,979581833","-2,157623291","-2,027674675","-2,254012108","-2,169206619","-2,368863106","-2,04197216","-2,005823135","-2,262070656","-1,903395653","-1,915216446",497370,11763000,3,2,"32,299",0,"6,5589",F6Z247;E9Q4Y9;E9Q020;E9Q5D5;Q924H7-3;Q924H7-2;Q924H7;E9PXS5;F7A7S5;E9PZH6,F6Z247;E9Q4Y9;E9Q020;E9Q5D5;Q924H7-3;Q924H7-2;Q924H7;E9PXS5;F7A7S5;E9PZH6,WW domain-containing adapter protein with coiled-coil
Prkcz,"0,02399635315","0,05553530693","0,9248143578",,"0,03285312653","0,08948927437","0,8762857143",,"0,07115125656","0,1974497985","0,8232004111",,"0,08000802994","0,222588706","0,788394724",,"-3,364819527","-3,354949951","-3,787431717","-3,443112373","-3,377659798","-3,81997776","-3,435282707","-3,601998329","-3,816078186","-3,507736206","-3,402231216","-3,66500473","-3,640285492","-3,284612656","-3,353408813","-3,743272781",297370,5650000,1,1,"46,6","0,0017448","2,3431",Q02956-2;Q02956,Q02956-2;Q02956,Protein kinase C zeta type
Rps2,"0,02387690544","0,3809771607","0,9152568622",,"-0,0828435421","1,113906603","0,7267987013",,"-0,01826381683","0,418948557","0,9426497797",,"-0,1249842644","1,552282196","0,7541083744",,"3,399477959","3,425925255","3,385276794","3,438508034","3,414770126","3,47531414","3,420710564","3,411448479","3,613042831","3,442364693","3,501339912","3,446600914","3,496870041","3,392248154","3,326796532","3,388034821",29718000,2840100000,38,11,"31,231",0,"39,213",P25444;D3YVC1;D3YWJ3,P25444;D3YVC1;D3YWJ3,Small ribosomal subunit protein uS5
Sprn,"0,02386164665","0,0457950598","0,9266918799",,"-0,1095428467","0,1728226996","0,7259045288",,"-0,03022313118","0,04280113184","0,9096403302",,"-0,1636276245","0,3939410296","0,7451905355",,"-4,091375351","-3,307815552","-3,611138344","-3,812344551","-4,211269379","-3,503471375","-3,407967567","-3,579072952","-3,666554451","-3,893415451","-3,596290588","-3,926413536","-3,107349396","-3,768806458","-3,584088326","-3,638812065",4253300,12760000,1,1,"9,1708",0,"25,502",A0A1B0GSB6;Q8BWU1,A0A1B0GSB6;Q8BWU1,Shadow of prion protein
Cct7,"0,02382969856","0,2541597419","0,9153686026",,"-0,04669117928","0,5773426472","0,8152120364",,"-0,0234503746","0,2855348732","0,9175981471",,"-0,09397125244","1,185138733","0,7490165184",,"4,44674015","4,369622231","4,344564438","4,300936699","4,384815216","4,389502525","4,42784977","4,353497505","4,483844757","4,335839272","4,440293312","4,384778023","4,482452393","4,37374115","4,285559654","4,322465897",38199000,3121200000,83,18,"59,652",0,"141,57",P80313;A0A0N4SV00;A0A0N4SV22;A0A0N4SUI8,P80313;A0A0N4SV00,T-complex protein 1 subunit eta
Rab5if,"0,02374982834","0,06416251883","0,9236607694",,"0,1316993237","0,4598440267","0,7090566038",,"-0,08326363564","0,3173752353","0,8031061453",,"0,02468585968","0,05936750934","0,9394969529",,"-2,726026535","-2,694969177","-2,874294281","-2,96001339","-2,789113045","-2,488541603","-2,717073441","-2,927520752","-2,640062332","-2,906816483","-3,077068329","-2,870110512","-2,825098991","-2,516590118","-2,895039558","-3,068562508",1198500,5992500,1,1,"14,825","0,0093382","1,5609",Q9CQT9,Q9CQT9,GEL complex subunit OPTI
Ajm1,"0,02370882034","0,2855588546","0,9148477886",,"0,1199505329","0,7784692857","0,711010101",,"-0,03936243057","0,323190374","0,8701638879",,"0,056879282","0,3761592342","0,8341163347",,"0,344707489","0,3793745041","0,3479747772","0,3493280411","0,3721094131","0,5175046921","0,2716054916","0,4176149368","0,122792244","0,395198822","0,2778196335","0,3890743256","0,3032217026","0,3130159378","0,2446298599","0,3798294067",185270,124360000,10,8,"107,18",0,"28,127",A2AJA9;A2AJA9-2,A2AJA9;A2AJA9-2,Apical junction component 1 homolog
Ogfod1,"0,02369236946","0,1518773436","0,916946077",,"0,07611393929","0,414290551","0,749586506",,"0,04469680786","0,1860114882","0,8626184799",,"0,09711837769","1,440717655","0,7533852349",,"-1,946883202","-1,720288277","-1,807173729","-1,875255585","-1,737546921","-1,829274178","-2,113186836","-1,848380089","-1,985612869","-1,955249786","-1,944292068","-1,833251953","-1,947689056","-1,776146889","-1,905792236","-1,929179192",379850,9876200,2,2,"61,159",0,"5,3408",D3YTU2;Q3U0K8-2;Q3U0K8-3;Q3U0K8,D3YTU2;Q3U0K8-2;Q3U0K8-3;Q3U0K8,Prolyl 3-hydroxylase OGFOD1
Ddx3x;D1Pas1,"0,02362847328","0,3054882851","0,9148737084",,"-0,05730509758","0,5588183857","0,7867968379",,"0,03909349442","0,4137448107","0,870698898",,"-0,04184007645","0,473852369","0,8766901746",,"2,602492332","2,672759056","2,595460892","2,553711891","2,613912582","2,627318382","2,545542717","2,481276512","2,711481094","2,577330589","2,564183235","2,643059731","2,644275665","2,577880859","2,54669857","2,562271118",11558000,949840000,42,18,"73,101",0,"69,56",Q62167;P16381,Q62167;P16381,ATP-dependent RNA helicase DDX3X;Putative ATP-dependent RNA helicase Pl10
Cryl1,"0,02362823486","0,1541709813","0,916569963",,"-0,06152057648","0,6750041541","0,7762639933",,"0,03920245171","0,2687073305","0,8693094233",,"-0,04594635963","0,500836566","0,8614602496",,"-0,7319355011","-0,6602334976","-0,8820409775","-0,6857204437","-0,8433246613","-0,8211517334","-0,6918954849","-0,7603683472","-0,7714300156","-0,6629304886","-0,7598142624","-0,7061882019","-0,6764831543","-0,7359018326","-0,7609548569","-0,851398468",5335000,85361000,7,4,"35,208",0,"17,208",Q99KP3,Q99KP3,Lambda-crystallin homolog
Gorasp2,"0,02339434624","0,1402471904","0,9172924823",,"-0,04882860184","0,4252503935","0,8115295795",,"0,02042245865","0,1581511598","0,933587479",,"-0,05180048943","0,3453047659","0,8470258912",,"1,295611382","1,390711784","1,331232071","1,325764656","1,319156647","1,344092369","1,191031456","1,407349586","1,420469284","1,32765007","1,384413719","1,437222481","1,324411392","1,276376724","1,373873711","1,162269592",2918600,260190000,10,4,"45,026",0,"29,495",A2ATI9;Q99JX3-2;Q99JX3;A2ATI8;A2ATI6,A2ATI9;Q99JX3-2;Q99JX3;A2ATI8;A2ATI6,Golgi reassembly-stacking protein 2
Csmd1,"0,0233001709","0,1895162749","0,9173876388",,"0,0423977375","0,4465300288","0,8338191525",,"0,002219438553","0,02039626458","0,9936972456",,"0,02131700516","0,1551558365","0,9431829601",,"-0,129368782","-0,01887989044","-0,09345245361","0,01052761078","-0,07369613647","-0,01390838623","-0,09877490997","-0,05367183685","-0,07127094269","-0,1547460556","-0,1753320694","-0,05596351624","-0,008293151855","-0,03699493408","-0,187833786","-0,04358196259",225920,28691000,1,1,"386,25",0,"3,328",Q923L3-2;Q923L3,Q923L3-2;Q923L3,CUB and sushi domain-containing protein 1
Eif2s2,"0,02326750755","0,174342157","0,9166840909",,"-0,08516192436","1,246188871","0,7235254617",,"0,04871606827","0,5625876602","0,8588867847",,"-0,05971336365","0,5766141869","0,8324459403",,"1,639962196","1,629057884","1,611045837","1,737278938","1,539339066","1,679553032","1,593268394","1,610320091","1,674728394","1,73379612","1,71728611","1,629946709","1,637317657","1,624557495","1,741156578","1,528614044",8137000,335160000,19,10,"38,092",0,"40,437",Q99L45;E0CXJ3,Q99L45,Eukaryotic translation initiation factor 2 subunit 2
Khdrbs3,"0,02315545082","0,191139864","0,916722522",,"0,03882813454","0,3947860619","0,8451523688",,"0,03779745102","0,2981935916","0,8715129713",,"0,05347013474","0,7212281892","0,8361678974",,"1,958699226","2,121956825","1,972745895","1,989275932","2,022428513","1,982201576","1,864142418","2,022715569","1,964490891","1,954285622","1,946623802","1,972847939","1,870775223","2,052316666","2,01012516","1,914766312",11221000,288600000,20,7,"38,807",0,"39,517",Q9R226;A0A2R8VJR4;A0A2R8VHM1,Q9R226;A0A2R8VJR4,"KH domain-containing, RNA-binding, signal transduction-associated protein 3"
Magi3,"0,02308917046","0,05039273937","0,9272345611",,"-0,03785324097","0,08399021709","0,8618582677",,"-0,007566452026","0,02106291106","0,9814672111",,"-0,06850886345","0,1334224797","0,8309209302",,"-3,705415726","-3,770541191","-3,52793026","-3,52268219","-3,731797218","-3,310566902","-3,748314857","-3,70562458","-3,506713867","-3,795607567","-3,774801254","-3,950194359","-3,267767906","-3,25681591","-3,629890442","-3,782025337",48016,3793300,1,1,"161,62",0,"8,6472",G5E8T6;Q9EQJ9-2;Q9EQJ9,G5E8T6;Q9EQJ9-2;Q9EQJ9,"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 3"
Mink1,"0,02307915688","0,3262060343","0,9168655438",,"0,03061318398","0,3173225028","0,8759835681",,"0,03031492233","0,5275238103","0,8875659012",,"0,03784894943","0,3823811894","0,8853675992",,"2,739481926","2,7553339","2,730779648","2,72503376","2,667951584","2,772458076","2,664441109","2,724518776","2,584384918","2,696164131","2,69737339","2,71555233","2,72899437","2,661756516","2,796135902","2,684867859",2143200,837440000,41,20,"151,22",0,"106,21",G3X9G2;Q9JM52;Q9JM52-3;F7AMS7;Q5SXG1;Q5SXG3;Q9JM52-2;J3QM71;E0CYV5,G3X9G2;Q9JM52;Q9JM52-3;F7AMS7;Q5SXG1;Q5SXG3;Q9JM52-2,non-specific serine/threonine protein kinase;Misshapen-like kinase 1
Mapre3,"0,02300333977","0,2437458352","0,9166253553",,"0,03802418709","0,4224944385","0,8497884003",,"-0,01773357391","0,2934592384","0,9445147541",,"-0,002712726593","0,01868303454","0,9909390909",,"3,988144875","3,948805809","3,946294785","3,880501747","3,937759399","3,982201576","3,938858986","3,975861549","3,82421875","3,904437065","4,005015373","3,906394005","3,948913574","3,924072266","3,844853401","3,996414185",101060000,2727600000,45,15,"31,966",0,"90,122",Q6PER3,Q6PER3,Microtubule-associated protein RP/EB family member 3
Slc16a2,"0,02299952507","0,06642904249","0,92507894",,"0,140260458","0,2834910738","0,706440678",,"0,05119228363","0,1251668199","0,8608799368",,"0,1684532166","0,4020006033","0,753610596",,"-2,907258987","-2,766658783","-2,60117054","-2,530513763","-3,023127556","-2,459533691","-2,898698807","-2,629011154","-2,482920647","-3,043923378","-3,231206894","-2,75155735","-2,813362122","-2,478907585","-2,757120132","-2,910015106",596720,6564000,2,1,"60,024",0,"4,6742",O70324,O70324,Monocarboxylate transporter 8
Dgkh,"0,02294111252","0,2725014166","0,9168737201",,"-0,1350944042","0,592038894","0,6985603039",,"0,05515050888","0,247684359","0,8513799392",,"-0,1028850079","0,7487454743","0,7488316008",,"-0,145316124","-0,1425619125","-0,05888938904","-0,1820497513","-0,3550291061","-0,2303962708","0,05649852753","-0,220492363","-0,241396904","0,03069019318","-0,002714157104","-0,15711689","0,004379272461","-0,2139968872","-0,1477193832","-0,1017484665",2160500,118910000,9,6,"114,26",0,"49,17",A0A2I3BQ43;A0JP53;A0A2I3BQ48;D3YXJ0-2;D3YXJ0;D3YXJ0-3;A0A2I3BQA6,A0A2I3BQ43;A0JP53;A0A2I3BQ48;D3YXJ0-2;D3YXJ0;D3YXJ0-3;A0A2I3BQA6,Diacylglycerol kinase;Diacylglycerol kinase eta
Ogdh,"0,02291035652","0,4634754995","0,9170108509",,"0,04717516899","0,5909810326","0,8132700422",,"-0,02492809296","0,2567595291","0,9113617396",,"-0,0006632804871","0,01225670222","0,9985256095",,"4,305026054","4,347729683","4,266895294","4,298224449","4,322799683","4,408450127","4,351126671","4,235211372","4,299139023","4,301686287","4,261029243","4,293990135","4,267032623","4,249652863","4,265942574","4,316648483",25446000,3040700000,87,33,"116,45",0,"280,62",Q60597;Q60597-3;Z4YJV4;Q60597-2;Q60597-4;Q5SVY0;Q5SVY1,Q60597;Q60597-3;Z4YJV4;Q60597-2;Q60597-4,2-oxoglutarate dehydrogenase complex component E1
Psmc4,"0,02287983894","0,2440387155","0,9172625603",,"-0,08341956139","1,087172001","0,7259509537",,"0,02280282974","0,6130804503","0,9187201385",,"-0,08349657059","0,791688378","0,761773894",,"2,69466114","2,699128151","2,661279678","2,689974785","2,622589111","2,69727993","2,663645744","2,67031765","2,853399277","2,731953621","2,684857368","2,697268486","2,717300415","2,750547409","2,618189812","2,587518692",8393500,713780000,29,14,"47,408",0,"53,689",P54775;A0A140LIZ5,P54775;A0A140LIZ5,26S proteasome regulatory subunit 6B
Aldh5a1,"0,02279496193","0,2614177028","0,9174528944",,"0,09051346779","1,574826022","0,7255140415",,"-0,0429930687","0,8265061418","0,8609304085",,"0,02472543716","0,2555715766","0,9287902632",,"4,412528038","4,448824883","4,431171417","4,373646736","4,438615799","4,484049797","4,50215435","4,413323402","4,30288887","4,398550987","4,369700432","4,478108406","4,404949188","4,393022537","4,323224068","4,380636215",24416000,3117000000,88,19,"55,968",0,"138,33",Q8BWF0,Q8BWF0,"Succinate-semialdehyde dehydrogenase, mitochondrial"
Rps13,"0,02279019356","0,4262393788","0,9170974359",,"-0,0977127552","1,370572361","0,7202374917",,"0,001181125641","0,02277703731","0,9970986931",,"-0,1193218231","1,558212282","0,7507865577",,"2,223526955","2,236699104","2,214950562","2,244837761","2,248493195","2,26460743","2,203564644","2,198624611","2,42956543","2,294054985","2,295365334","2,217610359","2,287155151","2,225086212","2,245144844","2,141012192",160790000,1682800000,22,8,"17,222",0,"28,728",P62301;Q921R2;A0A0U1RQ71,P62301;Q921R2,Small ribosomal subunit protein uS15
Cdc37,"0,02266001701","0,1748752418","0,9211252474",,"0,009974241257","0,1259775508","0,960532882",,"0,03442382813","0,4059537074","0,8775263332",,"0,02173805237","0,1899854151","0,9409414996",,"1,826493263","1,955765724","1,902391434","1,937708855","1,860616684","1,829419136","1,940529823","1,85409832","1,819034576","1,903351784","1,85598278","1,86109066","1,866397858","1,911022186","1,978117943","1,781488419",11764000,625260000,20,9,"44,593",0,"44,853",Q61081;A0A1L1STC0,Q61081;A0A1L1STC0,"Hsp90 co-chaperone Cdc37;Hsp90 co-chaperone Cdc37, N-terminally processed"
Bcan,"0,02262187004","0,2477634165","0,9186564713",,"0,08519482613","0,6114271689","0,7269158066",,"0,04394245148","0,6268390247","0,860732696",,"0,1065154076","0,773075575","0,7519444444",,"4,064681053","4,061793327","4,044906616","4,02124691","4,096652985","3,951716423","3,97783947","3,990649223","3,76515007","3,914814949","4,04279995","3,98137188","3,953313828","4,01451683","4,129950523","3,976301193",37836000,2473700000,68,23,"95,814",0,"211,55",Q61361;A0A0A6YW95,Q61361,Brevican core protein
Ptgr2,"0,02258706093","0,1998842951","0,9206142534",,"0,03644967079","0,2704505872","0,8574026136",,"-0,09521150589","1,155516394","0,7834200627",,"-0,08134889603","0,6955881417","0,7674467409",,"-0,3209896088","-0,391415596","-0,3925123215","-0,337012291","-0,310385704","-0,3508405685","-0,2148151398","-0,1850423813","-0,4016742706","-0,2693223953","-0,2157611847","-0,3665390015","-0,3201246262","-0,3080587387","-0,4986953735","-0,3589849472",5229400,75947000,6,6,"34,268",0,"12,222",Q3TXN1;Q8VDQ1-2;Q8VDQ1,Q3TXN1;Q8VDQ1-2;Q8VDQ1,Prostaglandin reductase 2
Dctn6,"0,02246403694","0,09170189668","0,9244615814",,"0,02050662041","0,1222126661","0,9233303216",,"-0,02768421173","0,1236367938","0,9029432158",,"-0,02964162827","0,1636251113","0,9121143194",,"-1,511472702","-1,196822166","-1,342056274","-1,432386398","-1,340141296","-1,309907913","-1,478806496","-1,243144989","-1,257152557","-1,42795372","-1,410065651","-1,534542084","-1,358855247","-1,399263382","-1,24875927","-1,390028954",2053100,49247000,3,2,"20,041",0,"9,086",D3Z6H3;Q9WUB4;D3Z6A1;D3Z4E5,D3Z6H3;Q9WUB4;D3Z6A1;D3Z4E5,Dynactin subunit 6
Eci1,"0,02245855331","0,1628011478","0,9218608059",,"0,02339291573","0,1377607604","0,9102037037",,"-0,01665425301","0,0921735572","0,9526291533",,"-0,01571989059","0,1141240083","0,9610147401",,"0,9989061356","0,9912614822","0,9189901352","0,9413747787","0,9809551239","0,9026069641","1,156155586","0,8774318695","0,9380989075","0,9932155609","0,9406251907","0,9253606796","0,9516382217","1,067690849","0,8264446259","0,9412021637",20006000,325440000,8,4,"27,842",0,"27,626",A0A3Q4EC00;A0A452J8A5;P42125;A0A3Q4EC76,A0A3Q4EC00;A0A452J8A5;P42125,"Enoyl-CoA delta isomerase 1, mitochondrial"
Eif4a2,"0,02244067192","0,4375216207","0,9177022966",,"-0,08448147774","0,9423000421","0,7254747253",,"0,00382900238","0,06440790475","0,9875195557",,"-0,1030931473","1,162181516","0,7542190202",,"3,904686928","3,949936867","3,871025085","3,924265862","3,901670456","3,939427376","3,916211128","3,877289772","4,118419647","3,915049553","3,960829735","3,926445961","3,978225708","3,904741287","3,856438637","3,872526169",15042000,2912000000,49,20,"46,402",0,"106,49",P10630;P10630-2;Q8BTU6;A0A338P6X5;E9Q561;D6RJ60;D6RJ11,P10630;P10630-2;Q8BTU6;A0A338P6X5;E9Q561,Eukaryotic initiation factor 4A-II
Cacnb4,"0,02238416672","0,0962446378","0,9249069052",,"0,09746360779","0,3775740337","0,7247128954",,"0,1437568665","0,9404529255","0,7759265537",,"0,2188363075","0,9519260903","0,7444332494",,"-1,982789993","-2,045372009","-1,779880524","-1,906532288","-2,068392754","-1,927052498","-2,120272636","-2,173884392","-2,108931541","-2,453050613","-1,990661621","-1,809703827","-2,126812935","-2,040693283","-1,88121891","-2,072495461",1182400,57436000,8,6,"53,083",0,"37,366",Q8R0S4-2;Q8R0S4-1;Q8R0S4;A0A0A6YWX5,Q8R0S4-2;Q8R0S4-1;Q8R0S4,Voltage-dependent L-type calcium channel subunit beta-4
Cadm2,"0,02237868309","0,2143638787","0,9217276836",,"0,005223035812","0,040898294","0,9779490269",,"0,09005498886","1,400197483","0,7859558174",,"0,07289934158","0,7065450293","0,7881182171",,"3,649464607","3,701846123","3,608682632","3,733326912","3,597553253","3,548026085","3,552580833","3,634940147","3,47190094","3,658438683","3,606747627","3,600203514","3,575120926","3,602661133","3,730870247","3,670070648",12777000,2996400000,39,10,"47,345",0,"230,49",G3UZM4;Q8BLQ9-3;Q8BLQ9-2;Q8BLQ9;D3Z0N3,G3UZM4;Q8BLQ9-3;Q8BLQ9-2;Q8BLQ9,Cell adhesion molecule 2
Snx4,"0,02237248421","0,1984746528","0,9216264108",,"0,00780248642","0,05291484437","0,9687452652",,"0,03932189941","0,3658508457","0,871480057",,"0,02475190163","0,1949803628","0,9307017246",,"1,394124031","1,366318703","1,305702209","1,385035515","1,36775589","1,419239998","1,266058922","1,240838051","1,36054039","1,258381844","1,268888474","1,298449516","1,374872208","1,302295685","1,301072121","1,459873199",1548900,220680000,13,10,"51,777",0,"32,786",Q91YJ2;A0A338P7D2,Q91YJ2;A0A338P7D2,Sorting nexin-4
Ubp1,"0,02236175537","0,07075886639","0,9267492363",,"-0,01089930534","0,05180276779","0,9581577287",,"0,07979488373","0,3274846412","0,81253125",,"0,04653382301","0,2145606619","0,8620049037",,"-3,110627174","-3,37353611","-2,991756439","-3,059070587","-3,078367233","-3,375623703","-3,191360474","-3,208818436","-3,222976685","-3,295276642","-3,095766068","-3,168181419","-3,19655323","-3,130823135","-3,347864151","-2,977568626",423880,6358200,1,1,"56,172",0,"3,3565",Q811S7-2;Q811S7,Q811S7-2;Q811S7,Upstream-binding protein 1
Uqcrfs1,"0,0223171711","0,2306982486","0,9215521039",,"0,04937148094","0,8887948649","0,8043507246",,"-0,004226207733","0,04168656741","0,985954007",,"0,02282810211","0,2918127387","0,936654039",,"2,284218788","2,399645805","2,373630524","2,411221504","2,339939117","2,417313576","2,334277153","2,394091606","2,305624008","2,378996849","2,309914589","2,305024147","2,293600082","2,418878555","2,346207619","2,309337616",62654000,1981100000,47,14,"29,367",0,"97,502",Q9CR68,Q9CR68,"Cytochrome b-c1 complex subunit Rieske, mitochondrial;Cytochrome b-c1 complex subunit 9"
Fmr1,"0,02228045464","0,1908920839","0,922",,"-0,03104758263","0,2923981511","0,8736211765",,"-0,01051497459","0,107336765","0,9699444583",,"-0,06384301186","0,5685410407","0,813170519",,"0,6930742264","0,8172893524","0,7662420273","0,7987260818","0,740357399","0,8477630615","0,7706375122","0,7586336136","0,8702459335","0,7011871338","0,8440799713","0,7533397675","0,8260688782","0,7337446213","0,6600532532","0,8390722275",2586400,167090000,12,8,"70,81",0,"18,759",E9QAS8;P35922-9;Q6AXB7;P35922;P35922-2;P35922-7;E9QNF5;D3Z6U8;P35922-3;E9QAS9;E9QAT0;P35922-8;P35922-10;P35922-6;P35922-12;P35922-4;P35922-5;P35922-11,E9QAS8;P35922-9;Q6AXB7;P35922;P35922-2;P35922-7;E9QNF5;D3Z6U8;P35922-3;E9QAS9;E9QAT0;P35922-8;P35922-10;P35922-6;P35922-12;P35922-4;P35922-5;P35922-11,Fragile X messenger ribonucleoprotein 1
Vps26b,"0,02224898338","0,2206056794","0,921338596",,"-0,02672457695","0,2702863753","0,8921637955",,"-0,01064443588","0,09373469571","0,9700250501",,"-0,05961799622","0,7347430579","0,8313829248",,"1,824347496","1,878697395","1,812166214","1,900631905","1,866771698","1,946303368","1,872666359","1,772679329","1,944894791","1,865618706","1,898089409","1,919957161","1,856716156","1,828722","1,752055168","1,826112747",6995200,430100000,19,7,"39,124",0,"34,581",Q8C0E2;Q8C0E2-2,Q8C0E2;Q8C0E2-2,Vacuolar protein sorting-associated protein 26B
Prpsap1,"0,02224683762","0,1634944826","0,9232528833",,"-0,1520116329","0,9399454511","0,686764497",,"0,07021045685","0,4158948865","0,8250885388",,"-0,1040480137","0,8251956809","0,7504545455",,"-0,8627519608","-0,8156652451","-0,8341703415","-0,7858524323","-0,7849378586","-0,8286046982","-0,8564891815","-1,109250069","-0,6832399368","-0,7284164429","-0,7049598694","-0,6976957321","-0,8546190262","-0,8974132538","-0,8854913712","-0,906826973",1743900,293010000,9,6,"42,467",0,"29,147",B1AT82;B1AT84;Q9D0M1;A0A8V5KYQ3;B1AT83,B1AT82;B1AT84;Q9D0M1;A0A8V5KYQ3;B1AT83,Phosphoribosyl pyrophosphate synthase-associated protein 1
Pmpca,"0,02223706245","0,426025627","0,9195641098",,"-0,03745388985","0,2539767312","0,8556632108",,"0,001962661743","0,0144681844","0,9949990917",,"-0,05772829056","0,5992860025","0,8328124488",,"1,621758461","1,639908791","1,654184341","1,683751106","1,612253189","1,679915428","1,751898766","1,547684669","1,750959396","1,69179821","1,567200661","1,676140785","1,731609344","1,583782196","1,633120537","1,617610931",2067100,199110000,9,6,"58,278",0,"28,631",Q9DC61;A2AIW9,Q9DC61;A2AIW9,Mitochondrial-processing peptidase subunit alpha
Map4k3,"0,02212238312","0,08812940311","0,9258815021",,"-0,0511162281","0,2726632143","0,8067981288",,"0,01167297363","0,04029366432","0,9692903875",,"-0,06156563759","0,4220732617","0,8272183128",,"-1,529474258","-1,558547974","-1,745007515","-1,806314468","-1,45283699","-1,742438316","-1,774271011","-1,716489792","-1,665859222","-1,563967705","-1,601024628","-1,577271461","-1,650719643","-1,851301193","-1,617756844","-1,68150425",857960,37750000,1,1,"98,722","0,00023441","3,1925",A0A3Q4EGQ9;E9QNE9;Q99JP0,A0A3Q4EGQ9;E9QNE9;Q99JP0,Mitogen-activated protein kinase kinase kinase kinase 3
Syt1,"0,02211833","0,3032647363","0,921364945",,"0,08359980583","1,075974207","0,7256528384",,"-0,005125045776","0,0524154154","0,9858884968",,"0,05635643005","0,7414221454","0,8359610706",,"5,359974861","5,397576332","5,339033127","5,398818016","5,357290268","5,450713158","5,402451515","5,305447578","5,225723267","5,286715508","5,337370872","5,420485497","5,331693649","5,366523743","5,299143791","5,320775986",224460000,12555000000,143,19,"47,417",0,"133,77",P46096;Q9R0N5,P46096,Synaptotagmin-1
Ndrg1,"0,02210283279","0,137014028","0,9250120617",,"0,04466462135","0,5350126178","0,8261195055",,"0,1010169983","0,9295374152","0,7846404023",,"0,1235787868","1,427912112","0,7550991338",,"1,054870605","0,9163579941","0,8439569473","0,9209814072","0,9202651978","0,785077095","0,8510599136","0,7756967545","0,748957634","0,791519165","0,7734537125","0,7882499695","0,839509964","0,9673175812","0,9270420074","0,9651460648",1864500,185310000,9,4,"43,008",0,"24,866",Q62433;E9Q0J8;E9PZC7;E9Q7G8;E9Q147;E9Q7V2;E9Q514;E9Q5I8;E9Q3F9;E9PVF3,Q62433,Protein NDRG1
Hnrnpul2,"0,02205634117","0,3408311518","0,9216250706",,"-0,05914092064","0,5722721836","0,7792064386",,"0,06578397751","1,077884734","0,8237612256",,"-0,0154132843","0,1259134477","0,9620681466",,"2,479605675","2,561341286","2,499641418","2,573973656","2,502962112","2,458792686","2,486334801","2,403336525","2,630477905","2,526442528","2,419423103","2,478131294","2,511646271","2,547311783","2,512564659","2,488328934",10790000,858640000,31,17,"84,939",0,"72,571",Q00PI9;A0A494BAL6,Q00PI9,Heterogeneous nuclear ribonucleoprotein U-like protein 2
Psmc3,"0,02205443382","0,3686402689","0,9218118112",,"-0,01746582985","0,2696482632","0,930770666",,"-0,01455831528","0,2744222618","0,9582730627",,"-0,05407857895","0,9120784684","0,8362394644",,"2,993437767","2,958281517","2,95290947","2,928090096","2,988075256","2,995591164","2,921145439","2,986140251","2,975227356","2,940535545","3,032113075","2,952179909","3,012939453","2,957424164","2,870053291","2,96484375",11124000,1095100000,47,18,"49,548",0,"77,317",O88685;A2AGN7;B7ZCF1,O88685;A2AGN7;B7ZCF1,26S proteasome regulatory subunit 6A
